,unit,Country,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018
1,CP_EUR_HAB,Austria,,35300.0,34500.0,35400.0,37000.0,37800.0,38200.0,39000.0,39900.0,40800.0,42100 ,43700
2,CP_EUR_HAB,Belgium,,33100.0,32300.0,33500.0,34500.0,35000.0,35300.0,35800.0,36600.0,37600.0,38700 ,39500
3,CP_EUR_HAB,Bulgaria,,4900.0,4900.0,5100.0,5600.0,5700.0,5800.0,5900.0,6300.0,6800.0,7300 ,7800 p
17,CP_EUR_HAB,Croatia,,11200.0,10500.0,10500.0,10500.0,10300.0,10300.0,10300.0,10600.0,11200.0,11900 ,
5,CP_EUR_HAB,Cyprus,,24200.0,23100.0,23300.0,23200.0,22600.0,21000.0,20700.0,20900.0,21700.0,22900 p,23800 p
6,CP_EUR_HAB,Czechia,,15500.0,14200.0,14900.0,15600.0,15400.0,15000.0,14900.0,16000.0,16700.0,18100 ,19400
8,CP_EUR_HAB,Denmark,,44000.0,41900.0,43800.0,44500.0,45500.0,46100.0,47100.0,48000.0,49200.0,50800 ,51400
11,CP_EUR_HAB,Estonia,,12300.0,10600.0,11000.0,12500.0,13500.0,14300.0,15200.0,15700.0,16500.0,18000 ,19500
15,CP_EUR_HAB,Finland,,36500.0,33900.0,34900.0,36500.0,36900.0,37400.0,37600.0,38300.0,39300.0,40600 ,42300
16,CP_EUR_HAB,France,,31000.0,29900.0,30700.0,31500.0,31800.0,32100.0,32400.0,33000.0,33400.0,34300 p,35100 p
7,CP_EUR_HAB,Germany,,31700.0,30600.0,32100.0,33700.0,34300.0,35000.0,36300.0,37300.0,38400.0,39600 ,40900
12,CP_EUR_HAB,Greece,,21800.0,21400.0,20300.0,18600.0,17300.0,16500.0,16400.0,16400.0,16400.0,16800 p,17200 p
18,CP_EUR_HAB,Hungary,,10800.0,9400.0,9900.0,10200.0,10000.0,10300.0,10700.0,11300.0,11600.0,12700 ,13500
20,CP_EUR_HAB,Iceland,,34300.0,29500.0,32500.0,34100.0,35700.0,37300.0,40900.0,47400.0,55600.0,63200 ,
19,CP_EUR_HAB,Ireland,,41800.0,37500.0,36800.0,37400.0,38100.0,38900.0,42000.0,55900.0,57500.0,61200 ,65500
21,CP_EUR_HAB,Italy,,27600.0,26400.0,26800.0,27300.0,26700.0,26500.0,26700.0,27200.0,27900.0,28500 ,29100
25,CP_EUR_HAB,Latvia,,11200.0,8800.0,8500.0,9800.0,10800.0,11300.0,11800.0,12300.0,12800.0,13900 ,15300
22,CP_EUR_HAB,Liechtenstein,,,,,,,128400.0,133200.0,148400.0,146700.0,148200 e,
23,CP_EUR_HAB,Lithuania,,10200.0,8500.0,9000.0,10300.0,11200.0,11800.0,12500.0,12900.0,13500.0,14900 ,16100
24,CP_EUR_HAB,Luxembourg,,77900.0,74200.0,79200.0,83100.0,83000.0,85300.0,89200.0,90600.0,91300.0,92600 ,96700
27,CP_EUR_HAB,Malta,,15000.0,14900.0,15900.0,16400.0,17100.0,17900.0,19600.0,21700.0,22700.0,24100 ,25600
28,CP_EUR_HAB,Netherlands,,39400.0,37800.0,38500.0,39000.0,39000.0,39300.0,39800.0,40700.0,41600.0,43000 p,44900 p
29,CP_EUR_HAB,Norway,,66500.0,57700.0,66300.0,72400.0,79100.0,77600.0,73300.0,67100.0,64100.0,67100 ,69400
30,CP_EUR_HAB,Poland,,9600.0,8200.0,9400.0,9900.0,10100.0,10300.0,10700.0,11200.0,11100.0,12200 ,12900
31,CP_EUR_HAB,Portugal,,16900.0,16600.0,17000.0,16700.0,16000.0,16300.0,16600.0,17400.0,18100.0,18900 p,19600 e
32,CP_EUR_HAB,Romania,,7100.0,6100.0,6200.0,6500.0,6600.0,7200.0,7600.0,8100.0,8600.0,9600 p,10400 p
36,CP_EUR_HAB,Slovakia,,12200.0,11800.0,12400.0,13100.0,13400.0,13700.0,14000.0,14600.0,15000.0,15600 ,16600
35,CP_EUR_HAB,Slovenia,,18800.0,17700.0,17700.0,18000.0,17500.0,17600.0,18200.0,18800.0,19500.0,20800 ,22200
13,CP_EUR_HAB,Spain,,24300.0,23300.0,23200.0,22900.0,22200.0,22000.0,22300.0,23300.0,24100.0,25100 p,25900 p
34,CP_EUR_HAB,Sweden,,38300.0,33300.0,39400.0,42900.0,44500.0,45400.0,44700.0,45800.0,46700.0,47200 ,45900
4,CP_EUR_HAB,Switzerland,,49300.0,50200.0,56100.0,63700.0,65000.0,64100.0,65300.0,74000.0,72300.0,71200 ,
37,CP_EUR_HAB,United Kingdom,,32100.0,27700.0,29500.0,29900.0,32800.0,32400.0,35400.0,40100.0,36600.0,35400 ,36000
